size,difficulty,seed,solver,solved,timed_out,nodes,conflicts,backtracks,propagations,time_ms,best_cost
7,easy,0,bt,1,0,115,53,62,0,6.6,
7,easy,0,fc,1,0,11,1,1,30,0.25,
7,easy,0,full,1,0,0,0,0,37,0.36,
7,easy,0,hc,1,0,13020,167,167,0,157.71,0
7,easy,0,sa,1,0,3294,2182,0,0,49.75,0
7,easy,1,bt,1,0,160,75,85,0,8.13,
7,easy,1,fc,1,0,18,4,4,33,0.55,
7,easy,1,full,1,0,5,0,0,32,0.31,
7,easy,1,hc,1,0,43140,493,493,0,595.21,0
7,easy,1,sa,1,0,14471,11941,1,0,175.97,0
7,easy,2,bt,1,0,110,51,59,0,6.02,
7,easy,2,fc,1,0,14,3,3,35,0.4,
7,easy,2,full,1,0,0,0,0,36,0.27,
7,easy,2,hc,1,0,19560,306,306,0,251.06,0
7,easy,2,sa,1,0,2432,1521,0,0,29.91,0
7,easy,3,bt,1,0,62,25,37,0,3.49,
7,easy,3,fc,1,0,30,9,9,33,0.41,
7,easy,3,full,1,0,4,1,1,39,0.42,
7,easy,3,hc,1,0,24180,291,291,0,279.0,0
7,easy,3,sa,1,0,6851,5629,0,0,100.62,0
7,easy,4,bt,1,0,63,26,37,0,3.16,
7,easy,4,fc,1,0,11,0,0,26,0.21,
7,easy,4,full,1,0,1,0,0,36,0.17,
7,easy,4,hc,1,0,32730,547,547,0,435.6,0
7,easy,4,sa,1,0,4116,3009,0,0,69.67,0
7,medium,0,bt,1,0,69,30,39,0,2.91,
7,medium,0,fc,1,0,14,2,2,31,0.24,
7,medium,0,full,1,0,5,0,0,34,0.24,
7,medium,0,hc,1,0,8970,267,267,0,93.39,0
7,medium,0,sa,1,0,8079,6637,0,0,76.23,0
7,medium,1,bt,1,0,68,29,39,0,3.08,
7,medium,1,fc,1,0,29,9,9,41,0.38,
7,medium,1,full,1,0,7,0,0,32,0.35,
7,medium,1,hc,1,0,330,6,6,0,3.33,0
7,medium,1,sa,1,0,4935,3721,0,0,57.8,0
7,medium,2,bt,1,0,170,81,89,0,7.82,
7,medium,2,fc,1,0,32,12,12,55,0.35,
7,medium,2,full,1,0,5,0,0,35,0.43,
7,medium,2,hc,1,0,6060,167,167,0,74.89,0
7,medium,2,sa,1,0,2244,1275,0,0,26.83,0
7,medium,3,bt,1,0,356,173,183,0,15.6,
7,medium,3,fc,1,0,70,30,30,111,0.61,
7,medium,3,full,1,0,9,1,1,52,0.36,
7,medium,3,hc,1,0,1470,20,20,0,13.65,0
7,medium,3,sa,1,0,3434,2175,0,0,36.96,0
7,medium,4,bt,1,0,68,29,39,0,3.67,
7,medium,4,fc,1,0,13,1,1,29,0.22,
7,medium,4,full,1,0,5,0,0,34,0.24,
7,medium,4,hc,1,0,7290,161,161,0,83.5,0
7,medium,4,sa,1,0,3048,1893,0,0,37.78,0
